YEAR,Location,Death Rate,Deaths,URL
2017,DE,6.9,63,/nchs/state-stats/states/de.html
2017,District of Columbia,15.6,117,/nchs/state-stats/states/dc.html
2017,FL,6.4,1269,/nchs/state-stats/states/fl.html
2017,GA,7.9,810,/nchs/state-stats/states/ga.html
2017,HI,2.5,35,/nchs/state-stats/states/hi.html
2017,ID,3,50,/nchs/state-stats/states/id.html
2017,IL,9,1120,/nchs/state-stats/states/il.html
2017,IN,7.2,456,/nchs/state-stats/states/in.html
2017,IA,3.4,104,/nchs/state-stats/states/ia.html
2017,KS,6.5,185,/nchs/state-stats/states/ks.html
2017,KY,7.3,310,/nchs/state-stats/states/ky.html
2017,LA,14.4,653,/nchs/state-stats/states/la.html
2017,ME,,19,/nchs/state-stats/states/me.html
2017,MD,10.2,587,/nchs/state-stats/states/md.html
2017,MA,2.6,171,/nchs/state-stats/states/ma.html
2017,MI,6.3,588,/nchs/state-stats/states/mi.html
2017,MN,2.2,122,/nchs/state-stats/states/mn.html
2017,MS,12.7,360,/nchs/state-stats/states/ms.html
2017,MO,11.3,655,/nchs/state-stats/states/mo.html
2017,MT,4.3,42,/nchs/state-stats/states/mt.html
2017,NE,2.7,50,/nchs/state-stats/states/ne.html
2017,NV,7.6,221,/nchs/state-stats/states/nv.html
2017,NH,,17,/nchs/state-stats/states/nh.html
2017,NJ,4.1,352,/nchs/state-stats/states/nj.html
2017,NM,8.5,173,/nchs/state-stats/states/nm.html
2017,NY,3,577,/nchs/state-stats/states/ny.html
2017,NC,6.9,679,/nchs/state-stats/states/nc.html
2017,ND,,15,/nchs/state-stats/states/nd.html
2017,OH,7.5,828,/nchs/state-stats/states/oh.html
2017,OK,8.5,318,/nchs/state-stats/states/ok.html
2017,OR,3.1,127,/nchs/state-stats/states/or.html
2017,PA,6.6,791,/nchs/state-stats/states/pa.html
2017,RI,,19,/nchs/state-stats/states/ri.html
2017,SC,9.3,444,/nchs/state-stats/states/sc.html
2017,SD,4.2,34,/nchs/state-stats/states/sd.html
2017,TN,8.8,557,/nchs/state-stats/states/tn.html
2017,TX,5.8,1653,/nchs/state-stats/states/tx.html
2017,UT,2.6,79,/nchs/state-stats/states/ut.html
2017,VT,,15,/nchs/state-stats/states/vt.html
2017,VA,5.4,455,/nchs/state-stats/states/va.html
2017,WA,3.6,266,/nchs/state-stats/states/wa.html
